Alarm ID,Alarm Name,Description,Probable Causes,Proposed Action
1,Power Interruption Alarm,"Device has lost external power, and is runinng on internal battery","a). External supply has failed
b). Internal power supply has failed
c). Power cable has become dislodged","a). Check if the electric supply is powered off
b). Check the power cable
c). Check if the equipment will power up, and replace if necessary"
2,Battery Failure Alarm,,Battery voltage is below acceptable level,"a). Check if the standby battery is installed in the device
b). Disable the alarm if there is no battery
c). Replace the battery"
3,Movement Alarm,,The device has been rotated to it's side,a). Check installation of the equipment
4,Over-temperature Alarm,Internal temperature of the Device exceeds safe working threshold.,"a). Installation of equipment does not allow for adequate air circulation
b). Fan unit for this equipment has failed.
c). Ambient air temperature within the equipment room has elevated beyond working range.","a). Check the device temperature and alarm threshold in OMT. The default threshold is 85oC
b). Check if the separation of between adjacent AUs is too close without fan
c). Check if there is no ventilation or air condition for cooling temperature"
6,Optical Link Alarm,A device that was previously detected is no longer responding ,"a). Equipment has been removed from the system
b). The optical fibre is disconnected, or an optical transceiver has failed
c). The power to this device is off","a). If equipment has been removed from service, delete the equipment from the topology
b). Check the fibre path and restore optical connection
c). Check power to the device
d). Replace the equipment"
7,LO1 Unlocked Alarm,,Equipment fault or unknown disruption,"a). Perform a hardware reboot of the equipment
b). Replace equipment and return for repair"
8,LO2 Unlocked Alarm,,Equipment fault or unknown disruption,"a). Perform a hardware reboot of the equipment
b). Replace equipment and return for repair"
9,LO3 Unlocked Alarm,,Equipment fault or unknown disruption,"a). Perform a hardware reboot of the equipment
b). Replace equipment and return for repair"
10,LO4 Unlocked Alarm,,Equipment fault or unknown disruption,"a). Perform a hardware reboot of the equipment
b). Replace equipment and return for repair"
15,Radio Module 1 Over-temperature protected Alarm,,PA Module 1 temperature is too high ,"a). Adjust module 1 downlink attenuation
b). Decrease module 1 output power"
16,Radio Module 2 Over-temperature protected Alarm,,PA Module 2 temperature is too high ,"a). Adjust module 2 downlink attenuation
b). Decrease module 2 output power"
17,Radio Module 3 Over-temperature protected Alarm,,PA Module 3 temperature is too high ,"a). Adjust module 3 downlink attenuation
b). Decrease module 3 output power"
